medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
290;Silver Medal;2.0;2024-08-02;KIM/JEONG;X;Badminton;Mixed Doubles;HCOUP;/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--;BDMXDOUBLES-KOR02;KOR;Korea;Republic of Korea
291;Bronze Medal;3.0;2024-08-02;WATANABE/HIGASHINO;X;Badminton;Mixed Doubles;HCOUP;/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--;BDMXDOUBLES-JPN01;JPN;Japan;Japan
292;Gold Medal;1.0;2024-08-02;Joris DAUDET;M;Cycling BMX Racing;Men;ATH;/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;1895661;FRA;France;France
293;Silver Medal;2.0;2024-08-02;Sylvain ANDRE;M;Cycling BMX Racing;Men;ATH;/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;1895640;FRA;France;France
294;Bronze Medal;3.0;2024-08-02;Romain MAHIEU;M;Cycling BMX Racing;Men;ATH;/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;1895700;FRA;France;France
295;Gold Medal;1.0;2024-08-02;Saya SAKAKIBARA;W;Cycling BMX Racing;Women;ATH;/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;1940127;AUS;Australia;Australia
296;Silver Medal;2.0;2024-08-02;Manon VEENSTRA;W;Cycling BMX Racing;Women;ATH;/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;1969181;NED;Netherlands;Netherlands
297;Bronze Medal;3.0;2024-08-02;Zoe CLAESSENS;W;Cycling BMX Racing;Women;ATH;/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;1976480;SUI;Switzerland;Switzerland
298;Gold Medal;1.0;2024-08-02;China;M;Diving;Men's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--;DIVM3MTEAM2-CHN01;CHN;China;People's Republic of China
299;Silver Medal;2.0;2024-08-02;Mexico;M;Diving;Men's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--;DIVM3MTEAM2-MEX01;MEX;Mexico;Mexico
300;Bronze Medal;3.0;2024-08-02;Great Britain;M;Diving;Men's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--;DIVM3MTEAM2-GBR01;GBR;Great Britain;Great Britain
301;Gold Medal;1.0;2024-08-02;Great Britain;O;Equestrian;Jumping Team;TEAM;/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;EQUOJUMPTEAMGBR01;GBR;Great Britain;Great Britain
