medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
1;Gold Medal;1.0;2024-07-27;Remco EVENEPOEL;M;Cycling Road;Men's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;1903136;BEL;Belgium;Belgium
2;Silver Medal;2.0;2024-07-27;Filippo GANNA;M;Cycling Road;Men's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;1923520;ITA;Italy;Italy
3;Bronze Medal;3.0;2024-07-27;Wout van AERT;M;Cycling Road;Men's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;1903147;BEL;Belgium;Belgium
4;Gold Medal;1.0;2024-07-27;Grace BROWN;W;Cycling Road;Women's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;1940173;AUS;Australia;Australia
5;Silver Medal;2.0;2024-07-27;Anna HENDERSON;W;Cycling Road;Women's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;1912525;GBR;Great Britain;Great Britain
6;Bronze Medal;3.0;2024-07-27;Chloe DYGERT;W;Cycling Road;Women's Individual Time Trial;ATH;/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;1955079;USA;United States;United States of America
7;Gold Medal;1.0;2024-07-27;China;W;Diving;Women's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--;DIVW3MTEAM2-CHN01;CHN;China;People's Republic of China
8;Silver Medal;2.0;2024-07-27;United States;W;Diving;Women's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--;DIVW3MTEAM2-USA01;USA;United States;United States of America
9;Bronze Medal;3.0;2024-07-27;Great Britain;W;Diving;Women's Synchronised 3m Springboard;TEAM;/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--;DIVW3MTEAM2-GBR01;GBR;Great Britain;Great Britain
10;Gold Medal;1.0;2024-07-27;OH Sanguk;M;Fencing;Men's Sabre Individual;HATH;/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--;1927149;KOR;Korea;Republic of Korea
11;Silver Medal;2.0;2024-07-27;Fares FERJANI;M;Fencing;Men's Sabre Individual;HATH;/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--;1937783;TUN;Tunisia;Tunisia
12;Bronze Medal;3.0;2024-07-27;Luigi SAMELE;M;Fencing;Men's Sabre Individual;HATH;/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--;1924595;ITA;Italy;Italy
13;Gold Medal;1.0;2024-07-27;KONG Man Wai Vivian;W;Fencing;Women's ?p?e Individual;HATH;/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--;1963262;HKG;Hong Kong, China;Hong Kong, China
14;Silver Medal;2.0;2024-07-27;Auriane MALLO-BRETON;W;Fencing;Women's ?p?e Individual;HATH;/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--;1916183;FRA;France;France
15;Bronze Medal;3.0;2024-07-27;Eszter MUHARI;W;Fencing;Women's ?p?e Individual;HATH;/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--;1946375;HUN;Hungary;Hungary
