venue;sports;date_start;date_end;tag;url
"Marseille Marina";"['Sailing']";"2024-07-28T11:00:00+02:00";"2024-08-08T19:00:00+02:00";"marseille-marina";"https://olympics.com/en/paris-2024/venues/marseille-marina"
"Marseille Stadium";"['Football']";"2024-07-25T21:00:00+02:00";"2024-08-06T23:59:00+02:00";"marseille-stadium";"https://olympics.com/en/paris-2024/venues/marseille-stadium"
"Nice Stadium";"['Football']";"2024-07-25T17:00:00+02:00";"2024-08-31T23:00:00+02:00";"nice-stadium";"https://olympics.com/en/paris-2024/venues/nice-stadium"
"North Paris Arena";"['Boxing', 'Modern Pentathlon']";"2024-07-27T15:30:00+02:00";"2024-08-08T17:30:00+02:00";"north-paris-arena";"https://olympics.com/en/paris-2024/venues/north-paris-arena"
"Parc des Princes";"['Football']";"2024-07-25T15:00:00+02:00";"2024-08-10T20:30:00+02:00";"parc-des-princes";"https://olympics.com/en/paris-2024/venues/parc-des-princes"
"Paris La Defense Arena";"['Swimming', 'Water Polo']";"2024-07-27T11:00:00+02:00";"2024-08-11T15:50:00+02:00";"paris-la-defense-arena";"https://olympics.com/en/paris-2024/venues/paris-la-defense-arena"
"Pierre Mauroy Stadium";"['Basketball', 'Handball']";"2024-07-27T11:00:00+02:00";"2024-08-11T16:00:00+02:00";"pierre-mauroy-stadium";"https://olympics.com/en/paris-2024/venues/pierre-mauroy-stadium"
"Pont Alexandre III";"['Cycling Road', 'Marathon Swimming', 'Triathlon']";"2024-07-30T08:00:00+02:00";"2024-08-09T10:30:00+02:00";"pont-alexandre-iii";"https://olympics.com/en/paris-2024/venues/pont-alexandre-iii"
"Porte de La Chapelle Arena";"['Badminton', 'Rhythmic Gymnastics']";"2024-07-27T08:30:00+02:00";"2024-08-10T15:45:00+02:00";"porte-de-la-chapelle-arena";"https://olympics.com/en/paris-2024/venues/porte-de-la-chapelle-arena"
"Stade Roland-Garros";"['Boxing', 'Tennis']";"2024-07-27T12:00:00+02:00";"2024-08-10T23:30:00+02:00";"roland-garros-stadium";"https://olympics.com/en/paris-2024/venues/roland-garros-stadium"
"Saint-Quentin-en-Yvelines BMX Stadium";"['Cycling BMX Racing']";"2024-08-01T20:00:00+02:00";"2024-08-02T22:30:00+02:00";"saint-quentin-en-yvelines-bmx-stadium";"https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-bmx-stadium"
"Saint-Quentin-en-Yvelines Velodrome";"['Cycling Track ']";"2024-08-05T17:00:00+02:00";"2024-08-11T14:40:00+02:00";"saint-quentin-en-yvelines-velodrome";"https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-velodrome"
"South Paris Arena";"['Handball', 'Table Tennis', 'Volleyball', 'Weightlifting']";"2024-07-25T09:00:00+02:00";"2024-08-11T15:45:00+02:00";"south-paris-arena";"https://olympics.com/en/paris-2024/venues/south-paris-arena"
"Stade de France";"['Athletics', 'Rugby Sevens']";"2024-07-24T15:30:00+02:00";"2024-08-10T22:30:00+02:00";"stade-de-france";"https://olympics.com/en/paris-2024/venues/stade-de-france"
"Teahupo'o, Tahiti";"['Surfing']";"2024-07-27T19:00:00+02:00";"2024-07-31T05:15:00+02:00";"teahupo-o-tahiti";"https://olympics.com/en/paris-2024/venues/teahupo-o-tahiti"
"Trocadéro";"['Athletics', 'Cycling Road']";"2024-08-01T07:30:00+02:00";"2024-08-07T10:50:00+02:00";"trocadero";"https://olympics.com/en/paris-2024/venues/trocadero"
"Vaires-sur-Marne Nautical Stadium";"['Canoe Slalom', 'Canoe Sprint', 'Rowing']";"";"";"vaires-sur-marne-nautical-stadium";"https://olympics.com/en/paris-2024/venues/vaires-sur-marne-nautical-stadium"
"Yves-du-Manoir Stadium";"['Hockey']";"2024-07-27T10:00:00+02:00";"2024-08-09T22:30:00+02:00";"yves-du-manoir-stadium";"https://olympics.com/en/paris-2024/venues/yves-du-manoir-stadium"
