title;city;date_start;date_end;tag;url;stage_number
"French Guiana";"Cayenne";"2024-06-09T00:01:00+02:00";"2024-06-09T23:59:00+02:00";"guyane-cayenne";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/guyane-cayenne";"28.0"
"New Caledonia";"Nouméa";"2024-06-11T00:01:00+02:00";"2024-06-11T23:59:00+02:00";"nouvelle-caledonie-noumea";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/nouvelle-caledonie-noumea";"29.0"
"Réunion";"Saint-Denis";"2024-06-12T00:01:00+02:00";"2024-06-12T23:59:00+02:00";"la-reunion-saint-denis";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/la-reunion-saint-denis";"30.0"
"French Polynesia";"P?ra'e-Pape'ete";"2024-06-13T00:01:00+02:00";"2024-06-13T23:59:00+02:00";"polynesie-francaise-papeete";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/polynesie-francaise-papeete";"31.0"
"Guadeloupe";"Baie-Mahault";"2024-06-15T00:01:00+02:00";"2024-06-15T23:59:00+02:00";"guadeloupe-baie-mahault";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/guadeloupe-baie-mahault";"32.0"
"Martinique";"Fort-de-France";"2024-06-17T00:01:00+02:00";"2024-06-17T23:59:00+02:00";"martinique-fort-de-france";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/martinique-fort-de-france";"33.0"
"Alpes-Maritimes";"Nice";"2024-06-18T00:01:00+02:00";"2024-06-18T23:59:00+02:00";"alpes-maritimes-nice";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/alpes-maritimes-nice";"34.0"
"Vaucluse";"Avignon";"2024-06-19T00:01:00+02:00";"2024-06-19T23:59:00+02:00";"vaucluse-avignon";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/vaucluse-avignon";"35.0"
"Drôme";"Valence";"2024-06-20T00:01:00+02:00";"2024-06-20T23:59:00+02:00";"drome-valence";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/drome-valence";"36.0"
"Vichy";"Vichy";"2024-06-21T00:01:00+02:00";"2024-06-21T23:59:00+02:00";"vichy";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/vichy";"37.0"
"Loire";"Saint-Etienne";"2024-06-22T00:01:00+02:00";"2024-06-22T23:59:00+02:00";"loire-saint-etienne";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/loire-saint-etienne";"38.0"
"Haute-Savoie";"Chamonix-Mont-Blanc";"2024-06-23T00:01:00+02:00";"2024-06-23T23:59:00+02:00";"haute-savoie-chamonix";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/haute-savoie-chamonix";"39.0"
"Doubs";"Besançon";"2024-06-25T00:01:00+02:00";"2024-06-25T23:59:00+02:00";"doubs-besancon";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/doubs-besancon";"40.0"
"The European Collectivity of Alsace";"Strasbourg";"2024-06-26T00:01:00+02:00";"2024-06-26T23:59:00+02:00";"collectivite-europeenne-d-alsace-strasbourg";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/collectivite-europeenne-d-alsace-strasbourg";"41.0"
"Moselle";"Metz";"2024-06-27T00:01:00+02:00";"2024-06-27T23:59:00+02:00";"moselle-metz";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/moselle-metz";"42.0"
"Haute-Marne";"Saint-Dizier";"2024-06-28T00:01:00+02:00";"2024-06-28T23:59:00+02:00";"haute-marne-saint-dizier";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/haute-marne-saint-dizier";"43.0"
"Meuse";"Verdun";"2024-06-29T00:01:00+02:00";"2024-06-29T23:59:00+02:00";"meuse-verdun";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/meuse-verdun";"44.0"
"Marne";"Reims";"2024-06-30T00:01:00+02:00";"2024-06-30T23:59:00+02:00";"marne-reims";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/marne-reims";"45.0"
"Nord";"Lille";"2024-07-02T00:01:00+02:00";"2024-07-02T23:59:00+02:00";"nord-lille";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/nord-lille";"46.0"
"Pas-de-Calais";"Lens-Liévin";"2024-07-03T00:01:00+02:00";"2024-07-03T23:59:00+02:00";"pas-de-calais-lens-lievin";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/pas-de-calais-lens-lievin";"47.0"
"Somme";"Amiens";"2024-07-04T00:01:00+02:00";"2024-07-04T23:59:00+02:00";"somme-amiens";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/somme-amiens";"48.0"
"Seine-Maritime";"Le Havre";"2024-07-05T00:01:00+02:00";"2024-07-05T23:59:00+02:00";"seine-maritime-le-havre";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/seine-maritime-le-havre";"49.0"
"Eure";"Vernon";"2024-07-06T00:01:00+02:00";"2024-07-06T23:59:00+02:00";"eure-vernon";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/eure-vernon";"50.0"
"C'Chartres";"Chartres";"2024-07-07T00:01:00+02:00";"2024-07-07T23:59:00+02:00";"c-chartres-chartres";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/c-chartres-chartres";"51.0"
"Loir-et-Cher";"Blois";"2024-07-08T00:01:00+02:00";"2024-07-08T23:59:00+02:00";"loir-et-cher-blois";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/loir-et-cher-blois";"52.0"
"Loiret";"Orléans";"2024-07-10T00:01:00+02:00";"2024-07-10T23:59:00+02:00";"loiret-orleans";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/loiret-orleans";"53.0"
"Yonne";"Auxerre";"2024-07-11T00:01:00+02:00";"2024-07-11T23:59:00+02:00";"yonne-auxerre";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/yonne-auxerre";"54.0"
"Côte-d'Or";"Dijon";"2024-07-12T00:01:00+02:00";"2024-07-12T23:59:00+02:00";"cote-d-or-dijon";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/cote-d-or-dijon";"55.0"
"Aube";"Troyes";"2024-07-13T00:01:00+02:00";"2024-07-13T23:59:00+02:00";"aube-troyes";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/aube-troyes";"56.0"
"Paris, Day 1";"Place de l?Hôtel de Ville";"2024-07-14T00:01:00+02:00";"2024-07-14T23:59:00+02:00";"paris-paris";"https://olympics.com/en/paris-2024/olympic-torch-relay/stages/paris-paris";"57.0"
