start_date;end_date;day;status;discipline;discipline_code;event;event_medal;phase;gender;event_type;venue;venue_code;location_description;location_code;url
2024-08-07T12:03:00+02:00;2024-08-07T12:20:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T12:23:00+02:00;2024-08-07T12:40:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T12:43:00+02:00;2024-08-07T13:00:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T12:48:00+02:00;2024-08-07T13:05:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T13:13:00+02:00;2024-08-07T13:30:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T13:23:00+02:00;2024-08-07T13:40:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T13:38:00+02:00;2024-08-07T13:55:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T14:03:00+02:00;2024-08-07T14:20:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T14:03:00+02:00;2024-08-07T14:20:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
2024-08-07T14:43:00+02:00;2024-08-07T15:00:00+02:00;2024-08-07;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Opening Series;W;TEAM;Marseille Marina;MAM;Marseille Marina - Calanques;SA4;
